company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label,funding_ordinal,hiring_pressure,sector_clean,city_clean,log_funding,funding_per_empl,startup_age,review_density,growth_x_ai
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing,3,0.1565217391304348,D2C,Bengaluru,16.454567959008102,0.1430831996435487,1,0.10434782608695652,42
Bachatt,FinTech,Delhi,2024,45,Seed,4000000,80,11,Product Manager; SWE; Growth Analyst,3.5,4.2,4.6,3.4,3.9,8,Hybrid,0,0,1,Growing,1,0.24444444444444444,FinTech,Delhi,15.201805169084134,0.33781789264631407,1,0.17777777777777778,80
Pronto,Home Services,Bengaluru,2025,130,Seed,14000000,80,22,Ops Head; City Manager; Backend Engineer,3.3,4.0,4.7,3.5,3.8,6,On-site,0,0,1,Growing,1,0.16923076923076924,SaaS,Bengaluru,16.454567959008102,0.1265735996846777,0,0.046153846153846156,80
Inamo,Quick Commerce Infra,Mumbai,2024,90,Seed,3000000,55,14,Dark Store Manager; Logistics Tech Lead; SWE,3.2,3.8,4.3,3.3,3.6,5,On-site,0,0,0,Growing,1,0.15555555555555556,Logistics,Mumbai,14.914123179965662,0.16571247977739625,1,0.05555555555555555,55
Emergent,AI / Dev Tools,Bengaluru,2024,40,Seed,30000000,150,9,AI Engineer; Product Designer; Backend SWE,4.0,4.5,4.8,4.2,4.4,10,Remote,0,1,0,High Desirability,1,0.225,AI,Bengaluru,17.216707972959764,0.4304176993239941,1,0.25,300
CubeAPM,DevOps / Observability,Gurugram,2023,35,Bootstrapped,0,40,7,Backend Eng; DevOps; Sales Engineer,4.3,4.4,4.5,4.0,4.3,9,Remote,0,0,0,Growing,0,0.2,DevTools,Gurugram,0.0,0.0,2,0.2571428571428571,40
Indrajaal,Defence / Anti-Drone,Hyderabad,2023,75,Pre-Series A,5500000,60,13,Embedded Eng; AI/ML Eng; Systems Architect,3.4,4.2,4.9,3.8,4.1,7,On-site,0,1,0,High Desirability,2,0.17333333333333334,DeepTech,Hyderabad,15.520258832020865,0.20693678442694485,2,0.09333333333333334,120
Sakar Robotics,Industrial Robotics,Pune,2023,50,Pre-Series A,2000000,45,10,Robotics Eng; Computer Vision Eng; ML Eng,3.9,4.3,4.6,3.7,4.1,8,Hybrid,0,1,0,High Desirability,2,0.2,Robotics,Pune,14.508658238524095,0.2901731647704819,2,0.16,90
Aurassure,Climate Tech,Bhubaneswar,2022,65,Pre-Series A,2800000,50,8,IoT Eng; Data Scientist; Business Dev,4.1,4.3,4.4,3.6,4.1,11,Hybrid,0,0,1,Growing,2,0.12307692307692308,Climate Tech,Other,14.845130332288226,0.22838662049674194,3,0.16923076923076924,50
Green Aero Propulsion,DeepTech / Aviation,Delhi,2023,30,Seed,1500000,35,6,Aerospace Eng; Propulsion Eng; R&D Scientist,3.7,4.4,4.8,3.5,4.1,5,On-site,0,0,0,Growing,1,0.2,DeepTech,Delhi,14.220976332738882,0.4740325444246294,2,0.16666666666666666,35
Catalyx Space,SpaceTech,Ahmedabad,2024,28,Seed,7100000,65,7,Satellite Systems Eng; Payload Eng; SW Eng,3.6,4.3,4.9,3.8,4.2,4,On-site,0,0,0,Growing,1,0.25,SpaceTech,Ahmedabad,15.775605482856605,0.563414481530593,1,0.14285714285714285,65
