company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing
Bachatt,FinTech,Delhi,2024,45,Seed,4000000,80,11,Product Manager; SWE; Growth Analyst,3.5,4.2,4.6,3.4,3.9,8,Hybrid,0,0,1,Growing
Pronto,Home Services,Bengaluru,2025,130,Seed,14000000,80,22,Ops Head; City Manager; Backend Engineer,3.3,4.0,4.7,3.5,3.8,6,On-site,0,0,1,Growing
Inamo,Quick Commerce Infra,Mumbai,2024,90,Seed,3000000,55,14,Dark Store Manager; Logistics Tech Lead; SWE,3.2,3.8,4.3,3.3,3.6,5,On-site,0,0,0,Growing
Emergent,AI / Dev Tools,Bengaluru,2024,40,Seed,30000000,150,9,AI Engineer; Product Designer; Backend SWE,4.0,4.5,4.8,4.2,4.4,10,Remote,0,1,0,High Desirability
CubeAPM,DevOps / Observability,Gurugram,2023,35,Bootstrapped,0,40,7,Backend Eng; DevOps; Sales Engineer,4.3,4.4,4.5,4.0,4.3,9,Remote,0,0,0,Growing
Indrajaal,Defence / Anti-Drone,Hyderabad,2023,75,Pre-Series A,5500000,60,13,Embedded Eng; AI/ML Eng; Systems Architect,3.4,4.2,4.9,3.8,4.1,7,On-site,0,1,0,High Desirability
Sakar Robotics,Industrial Robotics,Pune,2023,50,Pre-Series A,2000000,45,10,Robotics Eng; Computer Vision Eng; ML Eng,3.9,4.3,4.6,3.7,4.1,8,Hybrid,0,1,0,High Desirability
Aurassure,Climate Tech,Bhubaneswar,2022,65,Pre-Series A,2800000,50,8,IoT Eng; Data Scientist; Business Dev,4.1,4.3,4.4,3.6,4.1,11,Hybrid,0,0,1,Growing
Green Aero Propulsion,DeepTech / Aviation,Delhi,2023,30,Seed,1500000,35,6,Aerospace Eng; Propulsion Eng; R&D Scientist,3.7,4.4,4.8,3.5,4.1,5,On-site,0,0,0,Growing
Catalyx Space,SpaceTech,Ahmedabad,2024,28,Seed,7100000,65,7,Satellite Systems Eng; Payload Eng; SW Eng,3.6,4.3,4.9,3.8,4.2,4,On-site,0,0,0,Growing
Azimuth AI,Semiconductor / Edge AI,Hyderabad,2022,55,Series A,12000000,38,9,VLSI Eng; AI Chip Designer; Firmware Eng,4.0,4.2,4.6,4.1,4.2,13,Hybrid,0,1,0,Growing
Netrasemi,Semiconductor / Edge AI,Thiruvananthapuram,2020,70,Series A,12400000,30,8,SoC Designer; NPU Architect; Embedded SW,4.2,4.1,4.5,4.0,4.2,15,Hybrid,0,1,1,High Desirability
Cancrie,CleanTech / Battery Materials,Jaipur,2020,40,Seed,1500000,25,5,Material Scientist; R&D Eng; BD Manager,4.0,4.0,4.2,3.4,3.9,7,On-site,0,0,1,Emerging
Moonrider,AgriTech / EV,Bengaluru,2023,48,Seed,8200000,44,10,EV Powertrain Eng; Field Sales; Battery Eng,3.8,4.2,4.5,3.6,4.0,6,Hybrid,0,0,1,Emerging
Coratia Technologies,Underwater Robotics,Rourkela,2021,60,Pre-Series A,2000000,33,9,Robotics Eng; Embedded SW; Marine Eng,4.0,4.3,4.7,3.5,4.1,8,On-site,0,1,1,Growing
HYDGEN,GreenTech / Hydrogen,Mangaluru,2024,25,Seed,5000000,70,6,Electrochemical Eng; Hardware Eng; Sales,3.6,4.1,4.6,3.7,4.0,4,On-site,0,0,1,Growing
BorderPlus,HR Tech / Global Mobility,Mumbai,2025,55,Seed,7000000,120,15,Country Manager; Training Lead; Product Mgr,3.7,4.0,4.5,3.8,4.0,5,Hybrid,0,0,1,Growing
Ammunic Systems,Defence Tech,Bengaluru,2024,22,Seed,1100000,50,5,Munitions Eng; Electronics Eng; Systems Eng,3.5,4.4,4.8,3.6,4.1,3,On-site,0,0,0,Growing
First Coffee,F&B / QSR,Delhi,2023,95,Pre-Series A,3500000,38,20,Store Manager; Barista; Operations Lead,3.6,3.9,4.1,3.3,3.7,14,On-site,0,0,1,Emerging
Go Zero,D2C / FMCG,Mumbai,2022,80,Seed,4000000,62,11,Brand Manager; Supply Chain Lead; Growth Mktg,3.9,4.2,4.3,3.5,3.9,10,Hybrid,0,0,1,High Desirability
Kreo,Gaming Hardware / D2C,Bengaluru,2023,85,Seed,5000000,108,13,Hardware Eng; Product Designer; Growth Lead,4.0,4.4,4.5,3.8,4.2,12,Hybrid,0,0,0,Growing
Startup_28,AI,Bengaluru,2024,79,Pre-Series A,0,77,10,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,4,On-site,0,1,1,High Desirability
Startup_29,DeepTech,Jaipur,2020,158,Seed,6000000,63,23,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,16,Hybrid,0,1,0,Emerging
Startup_30,Logistics,Ahmedabad,2024,47,Series A,2500000,44,8,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,Hybrid,0,0,0,Growing
Startup_31,HealthTech,Mumbai,2019,114,Series A,4000000,158,18,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,14,Remote,0,0,1,Growing
Startup_32,Semiconductor,Mumbai,2019,137,Series A,6000000,128,19,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,11,On-site,0,1,1,Growing
Startup_33,Logistics,Chennai,2020,32,Series A,9000000,140,7,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,16,On-site,0,0,0,Growing
Startup_34,SaaS,Hyderabad,2023,137,Series A,6000000,147,20,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,5,Remote,0,0,1,Emerging
Startup_35,Semiconductor,Pune,2023,128,Series A,1500000,85,27,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,12,Remote,0,1,0,High Desirability
Startup_36,Robotics,Bengaluru,2019,76,Seed,9000000,72,16,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,17,On-site,0,1,1,Growing
Startup_37,DeepTech,Indore,2023,65,Pre-Series A,1500000,30,7,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,7,Hybrid,0,1,0,Growing
Startup_38,EdTech,Chennai,2020,149,Pre-Series A,0,38,13,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,On-site,0,0,0,Growing
Startup_39,HealthTech,Delhi,2025,26,Seed,9000000,19,3,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,7,On-site,0,0,1,Emerging
Startup_40,D2C,Kochi,2024,52,Seed,0,131,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,13,On-site,0,0,0,Growing
Startup_41,SaaS,Hyderabad,2022,128,Bootstrapped,0,63,21,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,4,Remote,0,0,1,Emerging
Startup_42,Semiconductor,Noida,2023,44,Seed,1500000,65,4,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,7,Remote,0,1,0,Growing
Startup_43,Logistics,Indore,2022,125,Series A,1500000,21,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,6,On-site,0,0,0,Growing
Startup_44,EdTech,Indore,2022,51,Bootstrapped,12000000,38,4,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,9,Hybrid,0,0,0,Growing
Startup_45,Climate Tech,Mumbai,2025,20,Series A,12000000,144,3,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,17,On-site,0,0,1,Growing
Startup_46,SaaS,Noida,2024,148,Series A,9000000,128,20,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,15,Remote,0,0,0,Emerging
Startup_47,Logistics,Noida,2023,101,Series A,6000000,111,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,4,On-site,0,0,0,High Desirability
Startup_48,DeepTech,Noida,2021,28,Series A,9000000,48,4,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,10,On-site,0,1,0,Emerging
Startup_49,Logistics,Noida,2025,42,Series A,4000000,89,4,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,14,Remote,0,0,0,Emerging
Startup_50,FinTech,Indore,2019,107,Seed,4000000,35,25,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,10,Remote,0,0,0,Growing
Startup_51,HealthTech,Pune,2024,76,Pre-Series A,9000000,134,14,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,12,Hybrid,0,0,0,Growing
Startup_52,D2C,Chennai,2021,131,Pre-Series A,4000000,143,12,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,15,Remote,0,0,0,High Desirability
Startup_53,D2C,Pune,2022,102,Series A,9000000,34,13,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,17,Remote,0,0,0,Growing
Startup_54,Climate Tech,Ahmedabad,2021,101,Bootstrapped,0,158,18,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,9,On-site,0,0,0,High Desirability
Startup_55,Robotics,Chennai,2020,150,Seed,6000000,36,15,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,9,Hybrid,0,1,0,Emerging
Startup_56,D2C,Chennai,2025,101,Bootstrapped,1500000,13,20,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,9,Hybrid,0,0,0,High Desirability
Startup_57,DeepTech,Delhi,2021,138,Series A,12000000,75,17,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,12,Hybrid,0,1,1,High Desirability
Startup_58,DeepTech,Hyderabad,2024,49,Seed,1500000,35,6,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,On-site,0,1,1,Emerging
Startup_59,SaaS,Pune,2021,37,Seed,4000000,155,8,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,12,On-site,0,0,0,Growing
Startup_60,D2C,Gurugram,2019,155,Pre-Series A,0,60,13,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,17,Remote,0,0,0,Growing
Startup_61,HR Tech,Mumbai,2025,12,Series A,2500000,104,3,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,15,Remote,0,0,1,High Desirability
Startup_62,Semiconductor,Indore,2019,71,Pre-Series A,6000000,95,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,13,On-site,0,1,0,Emerging
Startup_63,DeepTech,Jaipur,2023,35,Pre-Series A,9000000,46,4,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,15,On-site,0,1,0,Growing
Startup_64,HR Tech,Ahmedabad,2023,111,Pre-Series A,2500000,156,14,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,12,On-site,0,0,0,High Desirability
Startup_65,Logistics,Jaipur,2019,96,Pre-Series A,4000000,158,11,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,8,Remote,0,0,0,Growing
Startup_66,SpaceTech,Jaipur,2020,68,Seed,9000000,145,6,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,12,Remote,0,0,0,High Desirability
Startup_67,Logistics,Ahmedabad,2023,34,Series A,0,27,8,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,6,Remote,0,0,0,Growing
Startup_68,HealthTech,Chennai,2022,88,Series A,4000000,150,8,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,11,On-site,0,0,0,Emerging
Startup_69,FinTech,Delhi,2025,123,Seed,9000000,104,13,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,10,Remote,0,0,1,Growing
Startup_70,DevTools,Indore,2020,122,Seed,2500000,96,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,12,Remote,0,1,0,High Desirability
Startup_71,DeepTech,Gurugram,2021,73,Bootstrapped,12000000,119,9,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,3,Remote,0,1,0,Growing
Startup_72,Climate Tech,Indore,2023,69,Bootstrapped,4000000,64,7,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,9,On-site,0,0,0,Emerging
Startup_73,AI,Mumbai,2022,114,Pre-Series A,2500000,65,21,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,Hybrid,0,1,1,Growing
Startup_74,Climate Tech,Chennai,2020,127,Series A,2500000,125,23,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,18,Hybrid,0,0,0,Emerging
Startup_75,Semiconductor,Jaipur,2023,30,Seed,9000000,19,6,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,17,Remote,0,1,0,Emerging
Startup_76,HealthTech,Bengaluru,2023,83,Pre-Series A,2500000,53,17,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,12,On-site,0,0,1,Growing
Startup_77,EdTech,Noida,2022,46,Series A,6000000,55,6,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,4,Remote,0,0,0,High Desirability
Startup_78,D2C,Ahmedabad,2022,125,Series A,2500000,109,14,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,16,Remote,0,0,0,Growing
Startup_79,Climate Tech,Hyderabad,2022,60,Bootstrapped,0,57,12,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,10,Hybrid,0,0,1,High Desirability
Startup_80,HR Tech,Hyderabad,2020,95,Seed,1500000,85,16,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,11,On-site,0,0,1,Emerging
Startup_81,FinTech,Bengaluru,2019,29,Bootstrapped,1500000,133,3,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,Hybrid,0,0,1,High Desirability
Startup_82,DevTools,Mumbai,2025,116,Seed,6000000,86,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,Remote,0,1,1,Growing
Startup_83,HR Tech,Kochi,2019,116,Series A,2500000,31,25,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,On-site,0,0,0,Emerging
Startup_84,SpaceTech,Chennai,2019,81,Seed,6000000,111,7,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,17,Remote,0,0,0,Growing
Startup_85,HealthTech,Chennai,2025,81,Bootstrapped,4000000,124,15,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,15,On-site,0,0,0,Emerging
Startup_86,FinTech,Gurugram,2019,56,Series A,9000000,123,8,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,5,Hybrid,0,0,0,Growing
Startup_87,Robotics,Noida,2022,61,Pre-Series A,2500000,29,5,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,11,On-site,0,1,0,Growing
Startup_88,FinTech,Kochi,2024,29,Bootstrapped,2500000,54,6,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,Remote,0,0,0,High Desirability
Startup_89,FinTech,Pune,2024,102,Seed,12000000,142,11,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,15,On-site,0,0,0,Emerging
Startup_90,HR Tech,Bengaluru,2019,52,Series A,12000000,46,9,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,15,On-site,0,0,1,High Desirability
Startup_91,SpaceTech,Gurugram,2022,152,Series A,0,144,34,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,On-site,0,0,0,High Desirability
Startup_92,AgriTech,Delhi,2022,104,Seed,6000000,15,11,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,15,On-site,0,0,1,High Desirability
Startup_93,HealthTech,Mumbai,2023,125,Seed,1500000,52,22,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,5,On-site,0,0,1,Growing
Startup_94,D2C,Mumbai,2025,118,Pre-Series A,0,64,24,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,17,Hybrid,0,0,1,Growing
